Well #,Season,GPS ,Name of Village,State as of 2016
130,2012,"N: 08' 24' 371"" E: 028' 27' 487""",Ruot,Gogrial
131,2012,"N: 08' 11' 957"" E: 028'  24' 382""",Lilthieu,Gogrial
132,2012,"N: 08' 18' 397"" E: 028' 35' 679""",Parieng,Gogrial
133,2012,"N: 08' 15' 538"" E: 028' 35' 786""",Chueiluel,Gogrial
134,2012,"N: 08' 15' 763"" E: 028' 35' 320""",Roorchol,Gogrial
135,2012,"N: 08' 10' 773"" E: 028' 17' 192""",Alongdior,Gogrial
136,2012,"N: 07' 43' 250"" E: 028' 02' 350""",Haijur,Wau
137,2012,"N: 07' 43' 481"" E: 028' 02' 159""",Haijur,Wau
138,2013,,Bicha,
139,2013,,Wunkuel,
140,2013,,Padieng,
141,2013,,Machar Adhor,
142,2013,,Mathel Teng,
143,2013,,Ajak Dit,
144,2013,"N: 08' 21' 195"" E: 028' 24' 433""",Majok Abuok,Gogrial
145,2013,"N: 08' 09' 804"" E: 028' 19' 916""",Lueth Buol,Gogrial
146,2013,"N: 08' 08' 353"" E: 028' 18' 910""",Mangar Ciec,Gogrial
147,2013,"N: 08' 07' 805"" E: 028' 18' 126""",Atiokpiu,Gogrial
148,2013,"N: 9. 161565"" E: 28. 397066""",Buat Angui,Twic
149,2013,"N: 9. 149380"" E: 28. 395024""",Wuriang,Twic
150,2013,"N: 9.159964"". E: 28.403964""",Amieat,Twic
151,2013,"N: 9. 164053"" E: 28. 374056""",Mabil,Twic
152,2013,"N: 8.919170"" E: 27. 426940"" ",Kueech Pareng,Twic
153,2013,"N: 8. 846701"" E: 28. 247108""",Kueech,Gogrial
154,2013,"N: 8. 864719"" E: 28. 070154""",Marol Athokpur,Gogrial
155,2013,"N: 8. 864317"" E: 28.084884""",Machar Kuel,Gogrial
156,2013,"N: 8. 893365"" E: 27. 950044""",Akon,Gogrial
157,2013,"N: 8. 666810"" E: 27. 995542""",Nyok Thiang,Gogrial
158,2013,"N: 8. 727341"" E: 27' 995542""",Thurbol,Gogrial
159,2013,"N: 8. 564075"" E: 28. 036691""",Ngapadhiang,Gogrial
160,2013,"N: 08' 32' 026"" E: 028' 05' 695""",Gogial Market,Gogrial
161,2013,"N: 07' 43' 595"" E: 028' 02' 183""",Hai Kubur,Wau
162,2013,"N: 07' 43' 581"" E: 028' 02' 064""",Hella Jadiit,Wau
163,2013,,Riang Alek,
164,2013,,Manyang Primary,
165,2013,,Kernyiel,
166,2013,"N: 08' 07' 278"" E: 028' 16' 827""",Pan Koot,Gogrial
167,2013,"N: 08' 13'  695"" E: 028' 23' 921""",Akuocic,Gogrial
168,2013,,Aguor,
169,2013,,Luala,
170,2013,,Warchum,
171,2013,,Ajuong,
172,2013,,Kayil,
173,2013,"N: 07' 42' 669"" E: 028' 02' 113""",Rum Kueel,Wau
174,2013,"N: 07' 42' 902"" E: 028' 02' 303""",Hai Kor,Wau
175,2013,"N: 07' 42' 818"" E: 28' 02' 426""",Sumut,Wau
176,2013,"N: 07' 42' 500"" E: 028' 02' 198""",Majama,Wau
177,2013,"N: 07' 42' 705"" E: 028' 02' 361""",Majak Amaal,Wau
178,2013,"N: 08' 07' 103"" E: 028' 23' 642""",Pankot (Komgol Primary School),Tonj 
179,2012,"N: 08' 05' 490"" E: 028' 27' 487""",Akurbiok,Tonj 
180,2013,"N: 08' 09' 459"" E: 028' 27' 147""",Majaktit,Tonj 
181,2013,"N: 08' 07' 398"" E: 028'19' 971""",Malekabiem,Tonj 
182,2013,"N: 08' 13' 205"" E: 028' 22' 082""",Anguei,Gogrial
183,2013,"N: 08' 16' 094"" E: 028' 20' 907""",Makerjok,Gogrial
184,2013,"N: 08' 15' 183"" E: 028' 24' 813""",Malualamuk ,Gogrial
185,2014,"N: 08' 15' 02"" E: 028' 19' 507""",Awudo,Gogrial
186,2014,"N: 08' 40' 720"" E: 027' 20' 697""",Kokping,Gogrial
187,2014,"N: 08' 06' 882"" E: 028' 19' 606""",Titchok,Tonj 
188,2014,"N: 08' 06' 882"" E: 028' 19' 607""",Lounoi Primary School,Tonj 
189,2014,"N: 08' 05' 012"" E: 028' 37' 333""",Kuelakuak Primary School,Tonj 
190,2014,"N: 08' 05' 354"" E: 028' 37' 643""",Angon,Tonj 
191,2014,"N: 08' 05' 517"" E: 028' 39' 086""",Ayakakat,Tonj 
192,2014,"N: 08' 07' 184"" E: 028' 36' 366""",Dhak,Tonj 
193,2014,"N: 08' 05' 431"" E: 028' 38' 172""",Warrap Town,Tonj 
194,2014,"N: 08' 04' 953"" E: 028' 39' 036""",Wunchuei,Tonj 
195,2014,"N: 08' 05' 584"" E: 028' 38' 700""",Kuelchok,Tonj 
196,2014,"N: 07' 44' 643"" E: 028' 32' 355""",Gaiyar (Rumrual),Tonj 
197,2014,"N: 07' 45' 118"" E: 028' 34' 835""",Mouralol/Warngap,Tonj 
198,2014,"N: 07' 50' 218"" E: 028' 04' 392""",Pajiing,Tonj 
199,2014,"N: 07' 51' 790"" E: 028' 03' 487""",Nguetawan,Tonj 
200,2014,"N: 07' 44' 968"" E: 028' 06' 064""",Yelbok,Tonj 
201,2014,"N: 07' 44' 699"" E: 029' 04' 919""",Athieng,Tonj 
202,2014,"N: 07' 47' 486"" E: 028' 07' 817""",Tabarachuol ,Tonj 
203,2014,"N: 07' 50' 608"" E: 029' 10' 605""",Agumot,Tonj 
204,2014,"N: 07' 49' 269"" E: 029' 19' 937""",Panyanbech ,Tonj 
205,2014,"N: 07' 58' 440"" E: 029' 15' 984""",Ajiecwel,Tonj 
206,2014,"N: 07' 55' 014"" E: 029' 02' 090""",Patiaw,Tonj 
207,2014,"N: 08' 20' 113"" E: 028' 57' 422""",Achuilkot ,Tonj 
208,2014,"N: 08' 20' 948"" E: 028' 53' 343""",Yomkot,Tonj 
209,2014,"N: 08' 21' 019"" E: 028' 54' 751""",Ngap  Deng Noon ,Tonj 
210,2014,"N: 08' 14' 259"" E: 028' 47' 203""",Akolawet,Tonj 
211,2014,"N: 08' 09' 523"" E: 028' 32' 848""",Angotgep,Tonj 
212,2014,"N: 08' 09' 868"" E: 028' 18' 625""",Lacdiitwut ,Gogrial
213,2014,"N: 08' 03' 315"" E: 028' 11' 794""",Manyang,Gogrial
214,2014,"N: 08' 05' 830"" E: 028' 15' 053""",Wuntim,Gogrial
215,2014,"N: 07' 59' 627"" E: 028' 10' 321""",Wunngot,Gogrial
216,2014,"N: 07' 42' 855"" E: 028' 02' 556""",Samut,Wau
217,2014,"N: 07' 42' 756"" E: 028' 02' 219""",Alalnhom,Wau
218,2015,"N: 07' 40' 524"" E: 028' 05' 173""",Kuanya,Wau
219,2015,,Yiikador Primary School,
220,2015,,Yiikador Market,
221,2015,,Riangamom,
222,2015,,Gemanguei,
223,2015,"N: 08' 19' 510"" E: 028' 24' 439""",Mawut,Gogrial
224,2015,"N: 08' 12' 658"" E: 028' 21' 202""",Chueiakol,Gogrial
225,2015,,Amouthic Yiik-adoor,
226,2015,,Rormachar,
227,2015,"N: 08' 18' 346"" E: 028' 25' 993""",Aker Adoor,Gogrial
228,2015,"N: 08' 17' 852"" E: 027' 25' 105""",Aker Abuok,Gogrial
229,2015,,Alorweng,
230,2015,,Maper-Agany Agany,
231,2015,,Mayenrual,
232,2015,,Chueibet,
233,2015,,Rumkuel,
234,2015,,Maneilageb,
235,2015,,Anguei,
236,2015,,Warcuei,
237,2015,,Ariech,
238,2015,,Achom,
239,2015,,Didar,
240,2015,,Makuei,
241,2015,,Payier (Bul-Agap),
242,2015,"N: 08' 19' 133"" E: 028' 25' 109""",Watagok,Gogrial
243,2015,,Patemkou,
244,2015,,Amothich (Amuk),
245,2015,,Angui Karich,
246,2015,,Kumyuk,
247,2015,,Madink Kuel,
248,2015,,Acuok,
249,2015,,Rorkou,
250,2015,,Nhomlei,
251,2015,,Pantiit,
252,2015,,Makuac,
253,2015,,Kuelek-War,
254,2015,,Kuelek-Wut,
255,2015,,Thurnyior Primary School,
256,2015,"N: 07' 47' 418"" E: 028' 05' 500""",Mayen-Amith,Wau
257,2015,"N: 07' 47' 418"" E: 028' 05' 497""",Achuirdit,Wau
258,2015,,Aru Junction,
259,2015,,Chalara,Juba
260,2016,"N: 9. 066191"" E: 28. 313298""",Majook Ken,Twic
261,2016,"N: 9:088089"" E: 28. 306149""",Bookanyara,Twic
262,2016,"N: 09 14' 715"" E: 028' 21' 778""",Wun-nyok,Twic
263,2016,"N: 08' 54' 381"" E: 028' 16' 103""",Mager,Gogrial
264,2016,"N: 08' 54' 630"" E: 028' 15' 143""",Atuet,Gogrial
265,2016,"N: 08' 50' 742"" E: 028' 15' 601"" ",Panliet Market,Gogrial
266,2016,"N: 8. 809108"" E: 28. 240486"" ",Malek Akol,Gogrial
267,2016,"N: 08' 36' 660"" E: 028' 06' 427""",Atokngar,Gogrial
268,2016,"N: 08' 36' 930"" E: 028' 05' 950""",Lilthok,Gogrial
269,2016,"N: 8. 597584"" E: 28. 148838""",Gaikou,Gogrial
270,2016,"N: 08' 32' 615"" E: 028' 10' 341"" ",Wunkech,Gogrial
271,2016,"N: 08' 34' 546""  E: 028' 11' 267""",Warngap,Gogrial
272,2016,"N: 08. 224033"" E: 27. 965679""",Mouraruor Primary School,Gogrial
273,2016,"N: 08' 01' 623"" E: 027' 59' 750""",Mabior Dong,Gogrial
274,2016,"N: 08' 03' 115"" E: 027' 59' 908""",Kuenycariik,Gogrial
275,2016,"N: 07' 43' 138"" E: 028' 01' 864""",Hel-Jadid,Wau
276,2016,"N: 07' 44' 973"" E: 028' 03' 804""",Mawach,Wau
277,2016,"N: 07' 44' 599"" E: 028' 01' 717"" ",Eastern Bank Football Field,Wau
278,2016,"N: 07' 44' 399"" E: 028' 03' 191""",Malualkuel,Wau
279,2016,"N: 07' 41' 308"" E: 028' 00' 276""",Wau South Epsicopal Church,Wau
280,2016,04 21 48.84 N 031 58 53.60 E,Aru Junction,Central Equatoria
281,2016,04 33 52.79 N 032 02 58.70 E,Ofiri (Langabu),Central Equatoria
282,2016,04 39 28.96 N 032 04 51.21 E,Lirya Center,Central Equatoria
283,2017,"N: 07; 59' 160"" E: 028' 10' 224""",Chuei Ajang,Wau
284,2017,"N: 08'  01' 318"" E: 028  10  906"" ",Tit- Marol,Wau
285,2017,"N: 08' 01' 422""  E: 028' 01' 347"" ",Lith Angui ,Wau
286,2017,"N: 08' 03' 188"" E: 028' 13' 401""",Liethok ,Wau 
287,2017,"N: 08 02  708"" E: 028' 12'  473""",Manyang-Nyorich ,Wau
288,2017,"N: 08'' 03 762"" E: 028' 10' 755""",Akoc-Chok,Wau
289,2017,"N:  07' 59' 385"" E: 028' 08' 489'",Pathich ,Wau
290,2017,"N: 08' 06' 924"" E: 028 09 ' 949""",Mangar Adet,Wau
291,2017,"N: 08' 05' 731"" E: 028' 09' 841""",Athiaan Akuei,Wau
292,2017,"N: 08' 05' 022' E: 028' 10' 730""",Angobich,Wau
293,2017,"N: 08' 36' 812""  E: 028' 29' 057""",Ror-Atiny,Gogrial
294,2017,"N: 08' 13' 223"" E 028' 07' 252""",Warkot ,Gogrial
295,2017,"N: 08' 12' 609"" E: 028' 06' 158""",Marol Ajing,Gogrial
296,2017,"N: 08' 13' 815"" E: 028' 06' 568""",Rai,Gogrial
297,2017,"N: 08' 15' 736"" E: 028' 02' 351""",Dutcuar,Gogrial
298,2017,"N: 08' 16' 128"" E: 028' 02' 741""",Adhothok,Gogrial
299,2017,"N: 08' 15' 448"" E: 028' 02' 466""",Dutcuar Primary School,Gogrial
300,2017,"N: 08' 17' 059"" E: 028' 05' 025"" ",War Ding,Gogrial
301,2017,"N: 08' 18' 115"" E: 028' 06' 207""",Thiou,Gogrial
302,2017,"N: 08' 02' 935"" E: 028' 11' 507""",Manyang Payam,Gogrial
303,2017,"N: 08' 06' 251"" E: 028' 14' 425""",Wuntim,Gogrial
304,2017,"N: 08' 06' 177"" E: 028' 13' 779""",Lorutiu,Gogrial
305,2017," N:07' 45' 10.81"" E: 027' 59' 167"" ",Zagolona Primary School,Wau
306,2018,"N: 08' 55' 967"" E: 027' 30' 982""",Luethwek,Aweil East
307,2018,"N: 08' 55' 588"" E: 027' 31' 575""",Rolthok,Aweil East
308,2018,"N:08' 56' 089""  E: 027' 30' 139""",Pajok,Aweil East
309,2018,"N: 08' 55' 790"" E: 027' 30' 337"" ",Wathaleu,Aweil East
310,2018,"N: 08' 53' 536""  E: 027' 26' 585""",Riang-Mal,Aweil East
311,2018,"N: 08' 52' 938"" E: 027' 26' 078"" ",Warakoon,Aweil East
312,2018,"N: 08' 54' 044"" E: 027' 27' 031""",Anguek,Aweil East
313,2018,"N: 08' 52' 501"" E: 027' 25' 952"" ",Lueth-Agok,Aweil East
314,2018,"N: 08' 53' 103"" E: 027' 29' 361"" ",Kouyic,Aweil East
315,2018,"N: 08' 52' 568"" E: 027' 29' 520"" ",Aruelpiu ,Aweil East
316,2018,"N: 08' 53' 080"" E: 027' 28' 492""",Matiat Cuei,Aweil East
317,2018,"N: 08' 51' 144"" E: 027' 30'  874""",War-Nyiel ,Aweil East
318,2018,"N: 08' 52' 827"" E: 027' 28' 853"" ",Gukathie,Aweil East
319,2018,"N: 08' 52' 109"" E: 027' 28' 061"" ",Kar-Makuach ,Aweil East
320,2018,"N: 08' 52' 319"" E: 027' 26' 922"" ",Majook Achien ,Aweil East
321,2018,"N: 08' 51' 689"" E: 027' 26' 498"" ",Wut-Nyap,Aweil East
322,2018,"N: 08' 53' 592"" E: 027' 25' 080"" ",Abany,Aweil East
323,2018,"N: 08' 52' 116"" E: 027' 29' 858"" ",Mabil,Aweil East
324,2018,"N: 08' 52' 605"" E: 027' 29' 135"" ",Jok-Thok,Aweil East
325,2018,"N: 08' 52' 124"" E: 027' 29' 135"" ",Arieny-Piny A,Aweil East
326,2018,"N: 09' 02' 202"" E: 027' 34' 705""",Parot-Aker,Aweil East
327,2018,"N: 08' 45' 383"" E: 027' 27' 727""",Newsite,Aweil  
328,2018,"N:08' 44' 587"" E: 027' 27' 240"" ",Lil-Miir,Aweil
329,2018,"N: 08' 44' 486"" E: 027' 25' 958""",Lol - Kou ,Aweil
330,2018,"N: 08' 45' 204"" E: 027' 25' 383"" ",Pan-Malou ,Aweil
331,2018,"N: 08' 45' 502"" E: 027' 26' 358""",Majok Kuel,Aweil 
332,2018,"N:08' 43' 720"" E: 027' 26' 711"" ",Riangangor,Aweil
333,2018,"N: 08' 38' 818"" E: 027' 35' 801"" ",Wakthou,Aweil
334,2018,"N:08' 23' 215"" E: 027' 48' 715"" ",Ayok Dhok Primary School,Wau
335,2018,"N: 08' 24' 005"" E: 027' 49' 219""",Riang Kuol Bol,Wau
336,2018,"N: 08' 18' 143"" E: 027' 48' 674"" ",Ajiekdit Primary School,Wau
337,2018,"N: 08' 17' 539"" E: 027' 47' 507""",Amulmul Primary School,Wau
338,2018,"N: 08' 09' 573"" E: 027' 43' 137""",Waradhoth ,Wau
339,2018,"N: 08' 02' 562"" E: 027' 40' 622""",Barkiny,Wau
340,2018,"N: 08' 04'829"" E: 027' 44' 133"" ",Laach,Wau
341,2018,"N: 07' 48' 381' E: 027' 53' 693"" ",Cumbar,Wau
342,2018,"N: 07' 45' 043"" E: 027' 59' 314""",Hai Kamsin,Wau
343,2018,"N: 07' 45' 268' E: 027' 59' 422""",Jebel-Chok,Wau
344,2018,"N: 08' 07' 267: E: 028' 01' 395"" ",Eastern Bank,Wau
345,2018,"N: 07' 44' 204' E: 028' 00' 118""",Hai Jadit,Wau
346,2018,"N: 07' 43' 121"" E: 027' 59' 874""",Hai Jadit,Wau
347,2018,"N: 07' 43' 410"" E: 027' 59' 873",Hai Jadit,Wau
348,2018,"N: 07' 43' 008"" E: 027' 59' 875""",Hai Jadit,Wau
349,2018,"N: 07' 42' 707"" E: 028' 00' 011""",Hai Jadit,Wau
340,2018,"N: 07' 43' 422"" E: 028' 02' 348""",Kong Long,Wau
341,2019,"N:08' 19' 793""  E: 028' 30' 9""",Belbuoc,Tonj
342,2019,"N: 08' 22' 536"" E: 028' 42' 731""",Makuac-rual,Tonj
343,2019,"N: 08' 23' 528"" E: 028' 35' 453""",Thor-Amiyok,Tonj
344,2019,"N: 08' 23' 974"" E: 028' 50' 575""",Adiaujook,Tonj
345,2019,"N: 08' 36' 344"" E: 028' 52' 265""",Thou-yiik,Tonj
346,2019,"N: 08' 30' 503"" E: 028' 45' 507""",Paweny,Tonj
347,2019,"N: 08' 36' 263"" E: 028' 52' 264""",Lath-jak,Tonj
348,2019,"N: 08' 32' 003"" E: 028' 56' 676""",Mayen-Awakou,Tonj
349,2019,"N: 08' 28' 702"" E: 028' 58' 624""",Mangot ,Tonj
350,2019,"N: 08' 29' 118"" E: 028' 55' 919""",Alatip,Tonj
351,2019,"N: 08' 26' 214"" E: 028' 56' 166""",Marial-Adot Pri. School,Tonj
352,2019,"N: 08' 26' 221"" E: 028' 56' 178""",Marial Akech Primary Sch,Tonj
353,2019,"N: 08' 32' 436"" E: 028' 55' 704""",Wunkuel,Tonj
354,2019,"N: 08' 33' 895"" E: 028' 54' 847""",Lang Kap,Tonj
355,2019,"N: 08' 34' 765"" E: 028' 53' 861""",Riangper,Tonj
356,2019,"N: 08' 35' 400"" E: 028' 48' 512""",Panhom-Lang,Tonj
357,2019,"N: 08' 14' 447"" E: 028' 59' 347""",Dargon,Tonj
358,2019,"N: 08' 14' 111"" E: 028' 14' 123""",Mamal,Tonj
359,2019,"N: 08' 14' 095"" E: 028' 00' 736""",Majur ,Tonj
360,2019,"N: 08' 18' 590"" E: 028' 59' 509""",Aker-aher,Tonj
361,2019,"N: 08' 04' 159"" E: 028' 54' 447""",Achol,Tonj
362,2019,"N: 07' 5.94' 708"" E: 028' 34' 372""",Akotdit,Tonj
363,2019,"N: 08' 01 ' 438"" E: 028' 56' 387""",War-thou,Tonj
364,2019,"N: 08' 02' 363"" E: 028' 00' 269""",Malou,Tonj
365,2019,"N: 08' 59' 362"" E: 028' 01' 557"" ",Achir,Tonj
